CMDLINE C:\Users\Muping\anaconda3\python.exe main.py
MEM 1.570312 1676390830.3848
MEM 22.742188 1676390830.4874
MEM 35.925781 1676390830.5981
MEM 49.179688 1676390830.7097
MEM 49.851562 1676390830.8203
MEM 54.863281 1676390830.9299
MEM 104.257812 1676390831.0416
MEM 133.714844 1676390831.1522
MEM 158.015625 1676390831.2628
MEM 172.015625 1676390831.3735
MEM 184.277344 1676390831.4831
MEM 192.550781 1676390831.5897
MEM 210.500000 1676390831.6984
MEM 223.929688 1676390831.8090
MEM 232.910156 1676390831.9166
MEM 246.546875 1676390832.0283
MEM 261.503906 1676390832.1399
MEM 263.250000 1676390832.2515
MEM 274.683594 1676390832.3612
MEM 291.207031 1676390832.4728
MEM 302.488281 1676390832.5844
MEM 311.937500 1676390832.6950
MEM 317.261719 1676390832.8057
MEM 318.777344 1676390832.9163
MEM 331.906250 1676390833.0269
MEM 332.921875 1676390833.1386
MEM 334.027344 1676390833.2492
MEM 407.390625 1676390833.3598
MEM 517.875000 1676390833.4704
MEM 679.250000 1676390833.5821
MEM 955.421875 1676390833.6937
MEM 1065.535156 1676390833.8043
MEM 1065.949219 1676390833.9150
MEM 1070.371094 1676390834.0246
MEM 1070.527344 1676390834.1342
MEM 1070.914062 1676390834.2439
MEM 1071.167969 1676390834.3525
MEM 1071.488281 1676390834.4621
MEM 1071.492188 1676390834.5728
MEM 1071.507812 1676390834.6824
MEM 1071.753906 1676390834.7920
MEM 1071.871094 1676390834.9027
MEM 1072.019531 1676390835.0123
MEM 1072.503906 1676390835.1239
MEM 1072.921875 1676390835.2335
MEM 1072.921875 1676390835.3422
MEM 1072.964844 1676390835.4508
MEM 1073.210938 1676390835.5615
MEM 1073.210938 1676390835.6721
MEM 1073.246094 1676390835.7827
MEM 1073.636719 1676390835.8923
MEM 1073.968750 1676390836.0020
MEM 1074.164062 1676390836.1126
MEM 1074.320312 1676390836.2222
MEM 1074.519531 1676390836.3319
MEM 1074.527344 1676390836.4415
MEM 1074.707031 1676390836.5511
MEM 1074.960938 1676390836.6608
MEM 1075.031250 1676390836.7714
MEM 1075.296875 1676390836.8830
MEM 1075.609375 1676390836.9947
MEM 1075.941406 1676390837.1053
MEM 1075.941406 1676390837.2159
MEM 1076.222656 1676390837.3255
MEM 1076.363281 1676390837.4362
MEM 1076.394531 1676390837.5468
MEM 1076.566406 1676390837.6574
MEM 1076.812500 1676390837.7671
MEM 1076.816406 1676390837.8777
MEM 1076.890625 1676390837.9893
MEM 1077.507812 1676390838.0990
MEM 1077.511719 1676390838.2076
MEM 1077.511719 1676390838.3192
MEM 1078.339844 1676390838.4299
MEM 1078.503906 1676390838.5395
MEM 1078.527344 1676390838.6491
MEM 1078.777344 1676390838.7578
MEM 1079.164062 1676390838.8674
MEM 1079.183594 1676390838.9770
MEM 1079.292969 1676390839.0857
MEM 1079.703125 1676390839.1963
MEM 1079.703125 1676390839.3049
MEM 1079.964844 1676390839.4146
MEM 1080.261719 1676390839.5242
MEM 1080.320312 1676390839.6339
MEM 1080.328125 1676390839.7435
MEM 1080.531250 1676390839.8531
MEM 1080.753906 1676390839.9638
MEM 1080.761719 1676390840.0734
MEM 1080.843750 1676390840.1830
MEM 1081.128906 1676390840.2927
MEM 1081.394531 1676390840.4003
MEM 1081.394531 1676390840.5109
MEM 1081.695312 1676390840.6186
MEM 1081.902344 1676390840.7262
MEM 1082.027344 1676390840.8359
MEM 1082.101562 1676390840.9455
MEM 1082.433594 1676390841.0561
MEM 1082.433594 1676390841.1648
MEM 1082.433594 1676390841.2724
MEM 1082.707031 1676390841.3840
MEM 1082.878906 1676390841.4927
MEM 1082.882812 1676390841.6043
MEM 1083.269531 1676390841.7149
MEM 1083.671875 1676390841.8246
MEM 1083.679688 1676390841.9352
MEM 1084.003906 1676390842.0458
MEM 1084.292969 1676390842.1554
MEM 1084.332031 1676390842.2641
MEM 1084.367188 1676390842.3737
MEM 1084.648438 1676390842.4843
MEM 1084.785156 1676390842.5960
MEM 1084.785156 1676390842.7066
MEM 1084.988281 1676390842.8172
MEM 1085.179688 1676390842.9289
MEM 1085.179688 1676390843.0395
MEM 1085.609375 1676390843.1501
MEM 1085.875000 1676390843.2578
MEM 1086.160156 1676390843.3654
MEM 1086.179688 1676390843.4750
MEM 1086.429688 1676390843.5847
MEM 1086.496094 1676390843.6953
MEM 1086.496094 1676390843.8059
MEM 1086.496094 1676390843.9175
MEM 1086.632812 1676390844.0282
MEM 1086.632812 1676390844.1378
MEM 1086.632812 1676390844.2464
MEM 1086.632812 1676390844.3551
MEM 1086.632812 1676390844.4647
MEM 1086.632812 1676390844.5743
MEM 1086.632812 1676390844.6820
MEM 1086.679688 1676390844.7916
MEM 1086.679688 1676390844.9013
MEM 1086.679688 1676390845.0129
MEM 1086.699219 1676390845.1205
MEM 1086.804688 1676390845.2321
MEM 1086.867188 1676390845.3418
MEM 1087.187500 1676390845.4504
MEM 1087.375000 1676390845.5620
MEM 1087.503906 1676390845.6717
MEM 1087.511719 1676390845.7823
MEM 1087.761719 1676390845.8919
MEM 1087.832031 1676390846.0026
MEM 1087.898438 1676390846.1142
MEM 1088.023438 1676390846.2248
